phase,suite,device,sweep,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,b200,tiled,32,256,128,8,16777216,3,6,48,50,3,16.556640625,8.948071208786569,False,1299393000.0,285401900.0,285200700.0,285406300.0,4.552853362223587,2145.9411600000003,519.512,1884.16,4.130686413403349,3.6267882166340724,390905778.6095122,1614709188.6231694,21.370434782608697,48.0,1.0,10.863636363636363,99.0,2.803030303030303,0.03284090909090909,0.1038560606060606,716.1439393939394,38.0,223.3597727272728
2,sweep,b200,tiled,32,256,128,8,16777216,6,21,168,50,3,38.53125,20.824295010845987,False,1299393000.0,110178100.0,110163100.0,110179100.0,11.793568776372075,6530.539760000001,519.3820000000001,5723.04,12.573673635204916,11.018941742301426,128451985.7207025,1615113346.2461154,24.624782353434536,168.0,1.0,17.098214285714285,100.0,2.9330357142857144,0.05224122807017542,0.16301754385964914,723.7366071428571,44.0,263.00357142857104
2,sweep,b200,tiled,64,256,128,8,16777216,3,6,48,50,3,16.560546875,8.95018234980551,False,1299393000.0,197790900.0,197543600.0,198036700.0,6.569528729582605,3439.11516,519.136,3177.41,6.624690177525735,6.120573414288356,243917624.43918863,1615878690.747704,12.672371019163407,48.0,1.0,13.467948717948717,100.0,6.576923076923077,0.03531410256410257,0.12656410256410258,749.6474358974359,40.0,235.4024358974358
2,sweep,b200,tiled,64,256,128,8,16777216,6,21,168,50,3,38.5302734375,20.82376722559125,False,1299393000.0,69605200.0,69593040.0,69608140.0,18.668044916184424,10967.00816,519.214,10159.7,21.122327518133176,19.567461586166782,76489484.43930036,1615635942.0200531,13.871336200872072,168.0,1.0,18.875,100.0,7.428125,0.05309493670886076,0.18215189873417725,643.0625,41.0,257.14071874999985
2,sweep,b200,wavefront,0,256,128,8,16777216,3,6,48,50,3,16.5673828125,8.95387684658866,False,1299393000.0,203474100.0,203335800.0,203598800.0,6.386036355487013,3409.07693,519.5079999999999,3147.38,6.562125953787046,6.058386011379999,246066843.67196134,1614721621.2262373,12.793281523044563,48.0,1.0,12.16875,96.0,5.4625,0.048656250000000005,0.11678124999999999,699.81875,40.0,238.7591875
2,sweep,b200,wavefront,0,256,128,8,16777216,6,21,168,50,3,38.5390625,20.82851729288387,False,1299393000.0,70727220.0,70707580.0,70738040.0,18.371894158995644,10857.71522,519.32,10050.6,20.907562235230685,19.35338519602557,77259421.80310749,1615306169.6064084,14.021910572503131,168.0,1.0,18.477848101265824,99.0,7.908227848101266,0.07660937500000002,0.17940625000000004,656.0316455696203,44.0,276.8848734177216
2,sweep,b200,diagonal_compact,0,256,128,8,16777216,3,6,48,50,3,16.56640625,8.953349061333924,False,1299393000.0,174021700.0,173776200.0,174078300.0,7.466844652132464,4018.7519799999995,519.434,3757.04,7.736790391079521,7.232949710646589,208736643.65821356,1614951658.9210565,10.717298298660648,48.0,1.0,14.05232558139535,100.0,7.313953488372093,0.028191860465116274,0.12247674418604651,749.046511627907,40.0,235.12360465116276
2,sweep,b200,diagonal_compact,0,256,128,8,16777216,6,21,168,50,3,38.54296875,20.830628433902813,False,1299393000.0,58159310.0,57899510.0,58418800.0,22.341960384330555,13331.37488,519.546,12523.9,25.659662243574193,24.105469005631836,62923802.49980638,1614603519.2264013,11.252773848401855,168.0,1.0,19.85164835164835,100.0,10.296703296703297,0.05011956521739133,0.18177173913043473,649.967032967033,40.0,264.5796703296707
2,sweep,b200,tiled,0,256,256,1,16777216,3,6,48,50,3,15.1806640625,8.204421784864174,False,998225000.0,59992760.0,59989290.0,60006260.0,16.639091116994784,12956.908779999998,643.418,12695.8,20.13762247869969,19.73180731655005,64742355.93098003,1303757122.1196795,3.1715463696655593,48.0,1.0,19.366666666666667,100.0,2.088888888888889,0.008366666666666672,0.07001388888888892,648.8861111111111,32.0,200.41616666666644
2,sweep,b200,tiled,0,256,256,1,16777216,6,21,168,50,3,34.5556640625,18.67568123881755,False,998225000.0,44296940.0,44171240.0,45036750.0,22.534852294537725,17672.58391,643.471,16869.5,27.4644605739808,26.216410685174623,47466788.346967876,1303649737.1287906,8.354048098639558,168.0,1.0,20.736842105263158,100.0,5.644736842105263,0.019537610619469025,0.1779845132743363,623.3552631578947,35.0,232.55804824561415
2,sweep,b200,tiled,8,256,256,1,16777216,3,6,48,50,3,15.1142578125,8.168532387542157,False,998225000.0,141455900.0,141414400.0,141483200.0,7.056792965157339,4953.701039999999,643.299,4693.08,7.700464387477672,7.29533234157056,169340215.16970676,1303998296.2821333,8.579721291774272,48.0,1.0,15.166666666666666,99.0,1.3125,0.03848437500000001,0.14504687500000002,696.8958333333334,34.0,207.08020833333316
2,sweep,b200,tiled,8,256,256,1,16777216,6,21,168,50,3,34.48828125,18.639264056240798,False,998225000.0,47185390.0,47004290.0,47191220.0,21.15538305394954,16626.79232,643.346,15823.8,25.84424605111402,24.596096035414845,50452353.277484134,1303903031.9610288,8.906117013612407,168.0,1.0,20.53009259259259,100.0,1.3125,0.05345412844036697,0.19901376146788993,629.8217592592592,35.0,215.00101851851844
2,sweep,b200,tiled,16,256,256,1,16777216,3,6,48,50,3,15.1123046875,8.167476817032686,False,998225000.0,242217500.0,241167700.0,242419500.0,4.1211927296747755,2477.21373,644.0319999999999,2216.36,3.846414044643745,3.441381794693432,338630772.8885388,1302514160.7870417,18.1673186666426,48.0,1.0,11.432432432432432,99.0,1.5945945945945945,0.029756944444444447,0.10669444444444447,657.777027027027,35.0,209.36175675675676
2,sweep,b200,tiled,16,256,256,1,16777216,6,21,168,50,3,34.48828125,18.639264056240798,False,998225000.0,93421070.0,93385070.0,93468820.0,10.685223365564108,7820.83962,643.3530000000001,7017.78,12.156373903595691,10.908132860187175,107259685.75737141,1303888844.8487842,20.081651804416783,168.0,1.0,17.48046875,100.0,2.21484375,0.048351562500000014,0.16710156249999997,657.44921875,38.0,229.8812890624996
2,sweep,b200,tiled,32,256,256,1,16777216,3,6,48,50,3,15.1162109375,8.169587958051627,False,998225000.0,248267100.0,248238100.0,248495200.0,4.020770371909931,2386.33979,643.741,2125.87,3.7069874219600742,3.302368499132415,351526133.669338,1303102956.0024917,18.940630612408096,48.0,1.0,11.722222222222221,99.0,2.3680555555555554,0.026798611111111117,0.10111805555555554,703.6388888888889,39.0,219.82361111111112
2,sweep,b200,tiled,32,256,256,1,16777216,6,21,168,50,3,34.490234375,18.64031962675027,False,998225000.0,106102500.0,106016900.0,106132100.0,9.408119507080418,6744.2012,644.328,5941.13,10.467031077339493,9.220660905625707,124382528.80118701,1301915794.4400988,23.720843408577156,168.0,1.0,16.579166666666666,100.0,2.629166666666667,0.04483333333333332,0.15535,683.6916666666667,43.0,255.18787499999965
2,sweep,b200,tiled,64,256,256,1,16777216,3,6,48,50,3,15.1162109375,8.169587958051627,False,998225000.0,171863100.0,171641200.0,171915600.0,5.808256688026691,3886.82406,643.1800000000001,3626.31,6.043135762927951,5.638095090021455,215821654.65961432,1304239559.6878011,11.103661407877429,48.0,1.0,14.19767441860465,100.0,4.8313953488372094,0.025732558139534876,0.11826162790697671,643.5,36.0,222.40627906976727
2,sweep,b200,tiled,64,256,256,1,16777216,6,21,168,50,3,34.4931640625,18.641902982514473,False,998225000.0,67822830.0,67809700.0,67847720.0,14.718126624913765,11194.96877,643.608,10391.9,17.394079579495592,16.14631887732906,74931946.41578263,1303372239.0026228,13.561390544558742,168.0,1.0,19.160493827160494,100.0,6.842592592592593,0.04559259259259259,0.1738641975308642,573.3858024691358,40.0,250.02092592592587
2,sweep,b200,wavefront,0,256,256,1,16777216,3,6,48,50,3,15.1806640625,8.204421784864174,False,998225000.0,171863400.0,171834600.0,171868100.0,5.808246549294381,4027.22545,643.992,3766.5,6.25353335134598,5.8486751388216005,208297452.03363276,1302595063.2927117,10.690380565511747,48.0,1.0,12.801136363636363,93.0,4.926136363636363,0.04392045454545453,0.1148465909090909,663.4375,41.0,235.0192045454545
