device,arch,kind,method,regs,shared_bytes,stack_bytes,spills,occ_bs128,occ_bs256,occ_bs512,kernel
a100,sm80,other,,255,0,528,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelRe...
a100,sm80,other,,255,0,512,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelRe...
a100,sm80,other,,255,0,320,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,255,0,2064,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,255,0,736,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,255,0,736,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,255,0,1968,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,255,0,3904,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,255,0,2160,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,255,0,1616,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,255,0,1400,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,254,0,944,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,254,0,1608,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,253,16,608,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,234,0,592,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,230,0,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,229,0,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,227,0,448,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
a100,sm80,other,,226,0,720,yes,0.125,0.125,0.0,void Kokkos::Impl::cuda_parallel_launch_constant_memory<Kokkos::Impl::ParallelFo...
