phase,suite,device,sweep,ir_layout,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,a100,diagonal_compact,normal,176,44,64,5451776,6,21,168,50,3,18.1591796875,45.39794921875,False,274615000.0,22383440.0,22377090.0,22399180.0,12.268668265467685,9440.42082,782.687,8657.01,12.061553111269255,11.06062832268838,28874645.01820799,348273064.4561619,5.289923241396279,168.0,1.0,80.36842105263158,100.0,41.25,0.31526136363636365,0.4845746753246753,1294.342105263158,62.0,211.22855263157896
2,sweep,a100,diagonal_compact,normal,176,88,8,5451776,1,1,8,50,3,3.3896484375,8.47412109375,False,405967600.0,146004100.0,145868500.0,146324500.0,2.7805219168502804,1165.9885199999999,463.36699999999996,1083.78,2.516339143702508,2.3389235746179597,233783433.81974292,588278405.6698039,2.012133827898651,8.0,1.0,33.44,99.0,17.6,0.30002,0.44766,1094.4,56.0,132.0084
2,sweep,a100,diagonal_compact,normal,176,88,8,5451776,2,3,24,50,3,4.4697265625,11.17431640625,False,405967600.0,80560940.0,80352320.0,80780360.0,5.039260961950046,2626.73369,460.179,2479.31,5.708069446889145,5.387707826736987,103774813.959157,592353844.9168694,2.6386902807636,24.0,1.0,50.333333333333336,99.0,30.818181818181817,0.3109411764705882,0.4842279411764706,1170.909090909091,56.0,158.02848484848482
2,sweep,a100,diagonal_compact,normal,176,88,8,5451776,3,6,48,50,3,6.0419921875,15.10498046875,False,405967600.0,34251700.0,33833830.0,34261250.0,11.852480314845687,7099.7334900000005,451.1771,6856.8,15.736023592509461,15.197579841707393,38394229.92200232,604172507.8688612,1.9082170108505425,48.0,1.0,68.3103448275862,100.0,42.36206896551724,0.3110635593220339,0.4817542372881356,1215.0,57.0,181.35275862068963
2,sweep,a100,diagonal_compact,normal,176,88,8,5451776,4,10,80,50,3,8.1513671875,20.37841796875,False,405967600.0,22896800.0,22892870.0,22897120.0,17.73032039411621,10881.522359999999,450.0679,10508.8,24.177512681975315,23.34936572903777,25050612.49536412,605661501.2979152,2.075127892813642,80.0,1.0,79.92,100.0,48.346666666666664,0.297875,0.46198519736842103,1322.6,60.0,204.48
2,sweep,a100,diagonal_compact,normal,176,88,8,5451776,5,15,120,50,3,10.8408203125,27.10205078125,False,405967600.0,17159300.0,17153330.0,17165080.0,23.658750648336472,14602.628110000001,451.7684,14067.7,32.3232614543204,31.139185476452095,18667105.533786,603381732.7639561,2.325231274479837,120.0,1.0,86.20212765957447,100.0,52.287234042553195,0.32319868421052633,0.5141171052631579,1357.9787234042553,66.0,221.30010638297873
2,sweep,a100,diagonal_compact,normal,176,88,8,5451776,6,21,168,50,3,13.9755859375,34.93896484375,False,405967600.0,13911350.0,13909930.0,13915810.0,29.182473304172493,18040.24537,453.4377,17307.3,39.78549946332208,38.16908033893079,15110038.384139782,601160424.0229694,2.64598859440814,168.0,1.0,86.8695652173913,100.0,52.69565217391305,0.2918426724137931,0.4529892241379311,1347.2608695652175,63.0,221.48495652173912
2,sweep,a100,diagonal_compact,normal,176,176,1,5451776,1,1,8,50,3,3.1513671875,7.87841796875,False,343487700.0,37864910.0,37689010.0,37885420.0,9.071398822815107,6395.79907,549.5581,6315.68,11.638076247079246,11.492288076547322,42619975.55217131,496014525.1248231,0.34528513160894786,8.0,1.0,68.7843137254902,100.0,8.666666666666666,0.29574754901960787,0.42565686274509806,1282.9411764705883,54.0,116.90058823529412
2,sweep,a100,diagonal_compact,normal,176,176,1,5451776,2,3,24,50,3,4.0478515625,10.11962890625,False,343487700.0,35308180.0,35158070.0,35381890.0,9.728275430792525,6885.9724400000005,551.5888,6743.64,12.483887345065746,12.225846500146487,39586100.92839698,494188424.42051035,0.9701186896097657,24.0,1.0,69.35714285714286,100.0,13.464285714285714,0.28575438596491226,0.41068421052631576,1246.607142857143,54.0,130.30803571428572
2,sweep,a100,diagonal_compact,normal,176,176,1,5451776,3,6,48,50,3,5.4033203125,13.50830078125,False,343487700.0,33044610.0,33022010.0,33069440.0,10.394666482672969,7292.66233,548.9085,7054.41,13.285752233751163,12.851704792328777,37378502.89305799,496601528.30571944,1.854763530897694,48.0,1.0,73.64285714285714,100.0,21.232142857142858,0.28222767857142855,0.42453348214285713,1314.107142857143,55.0,156.99857142857144
2,sweep,a100,diagonal_compact,normal,176,176,1,5451776,4,10,80,50,3,7.1728515625,17.93212890625,False,343487700.0,30439090.0,30391970.0,30467840.0,11.284427359687822,7919.12222,552.2642,7553.35,14.339372749492002,13.677058914917898,34421592.75071777,493584049.08375376,2.8870771247194953,80.0,1.0,70.4375,100.0,28.09375,0.2745173076923077,0.4246057692307692,1233.984375,57.0,172.94953125
2,sweep,a100,diagonal_compact,normal,176,176,1,5451776,5,15,120,50,3,9.4052734375,23.51318359375,False,343487700.0,23188730.0,23186880.0,23291870.0,14.81269996243865,10606.728799999999,553.4504,10072.3,19.164732377101906,18.19910149129895,25699610.60944634,492526159.52576786,3.247585556427033,120.0,1.0,78.88,100.0,36.78666666666667,0.2961809210526316,0.4801529605263158,1313.8,63.0,198.84013333333334
2,sweep,a100,diagonal_compact,normal,176,176,1,5451776,6,21,168,50,3,12.0595703125,30.14892578125,False,343487700.0,15392580.0,15382140.0,15432660.0,22.31514794790737,16432.12495,553.6387,15709.0,29.68023180099224,28.37410029320566,16588773.565770626,492358644.7262448,2.915202648163473,168.0,1.0,84.74285714285715,100.0,49.46666666666667,0.3054964622641509,0.5026297169811321,1332.4285714285713,63.0,214.81952380952382
