phase,suite,device,sweep,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,gh200,tiled,0,224,224,1,11239424,3,6,48,50,3,10.427734375,10.910279858180667,False,788786400.0,34019020.0,33904600.0,34027430.0,23.18662912688255,15638.75076,547.3639000000001,15427.2,28.571030643416563,28.184540485771894,35934532.66340054,1026686633.8828702,1.7485102675793402,48.0,1.0,93.39772727272727,100.0,10.193181818181818,0.03838202247191011,0.3662247191011235,1980.0,40.0,235.6697727272728
2,sweep,gh200,tiled,0,224,224,1,11239424,6,21,168,50,3,23.6640625,24.7591217010146,False,788786400.0,28084060.0,27956750.0,28196960.0,28.086622803113226,18801.808960000002,547.1243,18153.5,34.364785040620575,33.17984596918836,29889209.12852419,1027136246.7358881,5.200714000055085,168.0,1.0,94.16037735849056,100.0,20.68867924528302,0.10385046728971963,0.9047663551401871,1980.0,41.0,346.1203773584906
2,sweep,gh200,tiled,8,224,224,1,11239424,3,6,48,50,3,10.3837890625,10.864300967600208,False,788786400.0,94756040.0,94721300.0,94761380.0,8.3243917749201,5076.102330000001,547.1683,4864.74,9.277040226928351,8.890756281019934,110709194.46968673,1027053650.5861175,5.544924826403879,48.0,1.0,86.8,100.0,11.142857142857142,0.25266666666666665,0.7954444444444444,1980.0,41.0,306.19971428571426
2,sweep,gh200,tiled,8,224,224,1,11239424,6,21,168,50,3,23.619140625,24.71212105731013,False,788786400.0,31640100.0,31639570.0,31649660.0,24.929959134136745,16623.30069,548.9159999999999,15973.4,30.28386982707737,29.099898709456458,33806234.42238895,1023783602.591289,5.910523845893799,168.0,1.0,93.98936170212765,100.0,9.829787234042554,0.3023473684210522,0.9177999999999996,1980.0,43.0,311.59776595744694
2,sweep,gh200,tiled,14,224,224,1,11239424,3,6,48,50,3,10.3828125,10.863279214476199,False,788786400.0,156313700.0,156302800.0,156324300.0,5.046175735076324,2737.59423,548.9976,2525.57,4.986532236206497,4.600329764647423,205279217.0006875,1023631432.9971569,10.680605803838342,48.0,1.0,78.95652173913044,99.0,15.565217391304348,0.23295652173913042,0.7240869565217392,1980.0,47.0,374.7369565217391
2,sweep,gh200,tiled,14,224,224,1,11239424,6,21,168,50,3,23.6201171875,24.713142810434142,False,788786400.0,58130000.0,58123950.0,58131560.0,13.569351453638397,8532.04066,549.2444,7882.32,15.534142287112987,14.351206858003467,65865977.71792616,1023171469.7500783,11.977585482446793,168.0,1.0,90.35849056603773,100.0,13.81132075471698,0.30118518518518506,0.8704074074074074,1980.0,48.0,402.8984905660377
2,sweep,gh200,tiled,16,224,224,1,11239424,3,6,48,50,3,10.3857421875,10.866344473848228,False,788786400.0,159808300.0,159771400.0,160109300.0,4.935828739808883,2655.7923699999997,549.0218,2443.68,4.837316787785111,4.450970799338022,211602083.93851215,1023586312.9660789,11.03852288351994,48.0,1.0,74.43478260869566,99.0,15.782608695652174,0.22147826086956524,0.690608695652174,1980.0,47.0,373.6078260869565
2,sweep,gh200,tiled,16,224,224,1,11239424,6,21,168,50,3,23.62109375,24.714164563558153,False,788786400.0,60774070.0,60759440.0,60836520.0,12.97899581186516,8102.862969999999,549.3479,7452.65,14.749966223589823,13.566357494039751,69354646.87982994,1022978698.9264909,12.66813302650735,168.0,1.0,89.23076923076923,100.0,16.115384615384617,0.2900943396226416,0.8370943396226415,1980.0,48.0,435.9488461538462
2,sweep,gh200,tiled,28,224,224,1,11239424,3,6,48,50,3,10.3857421875,10.866344473848228,False,788786400.0,135049200.0,135020100.0,135133800.0,5.840733599310473,3299.4758099999995,549.4147,3087.33,6.005437804995023,5.6193072373200055,170321357.8038022,1022854321.1530379,8.737199327574313,48.0,1.0,79.38461538461539,100.0,28.192307692307693,0.2053703703703704,0.6659999999999999,1980.0,47.0,398.51192307692304
2,sweep,gh200,tiled,28,224,224,1,11239424,6,21,168,50,3,23.6240234375,24.717229822930182,False,788786400.0,57543160.0,57519020.0,57606030.0,13.70773520258533,8620.22075,549.1837,7970.74,15.696424984936733,14.513795657081591,65192205.19961742,1023284558.5183973,11.844717253354142,168.0,1.0,89.94444444444444,100.0,31.22222222222222,0.28699999999999976,0.8418181818181819,1980.0,50.0,477.5559259259261
2,sweep,gh200,tiled,32,224,224,1,11239424,3,6,48,50,3,10.38671875,10.867366226972239,False,788786400.0,128081400.0,127969500.0,128229800.0,6.158477343314486,3530.45632,549.2636,3318.53,6.42761748639451,6.041780303664762,159178063.41815895,1023135703.8769728,8.1284838768973,48.0,1.0,81.44444444444444,100.0,30.25925925925926,0.20525,0.6825714285714286,1980.0,47.0,404.72592592592594
2,sweep,gh200,tiled,32,224,224,1,11239424,6,21,168,50,3,23.6240234375,24.717229822930182,False,788786400.0,53634020.0,53528600.0,53657680.0,14.70682973232288,9356.73993,549.0074,8706.62,17.043012407483033,15.858839061185698,60060577.10316204,1023613160.7697821,10.843606543067228,168.0,1.0,90.37931034482759,100.0,33.94827586206897,0.2829491525423729,0.8407457627118646,1980.0,52.0,484.941379310345
2,sweep,gh200,wavefront,0,224,224,1,11239424,3,6,48,50,3,10.4296875,10.912323364428687,False,788786400.0,102472600.0,102142200.0,102483800.0,7.697534755632237,4651.82241,549.3996,4439.75,8.467101923627174,8.081094343716305,120806675.42078419,1022882433.8423253,6.075706424911312,48.0,1.0,80.46875,97.0,30.84375,0.33009090909090916,0.742090909090909,1980.0,51.0,442.61750000000006
2,sweep,gh200,wavefront,0,224,224,1,11239424,6,21,168,50,3,23.6650390625,24.76014345413861,False,788786400.0,37351440.0,37349660.0,37375180.0,21.117964929866158,13930.353790000001,549.1563,13280.2,25.36682869703944,24.18291477308009,40341487.98169181,1023335615.0152515,7.109167151097121,168.0,1.0,91.60493827160494,99.0,33.55555555555556,0.4210987654320987,0.8899999999999996,1980.0,57.0,522.1830864197532
2,sweep,gh200,diagonal_compact,0,224,224,1,11239424,3,6,48,50,3,10.4306640625,10.913345117552696,False,788786400.0,49857660.0,49830540.0,49886040.0,15.820766558237992,10389.739909999998,549.1444,10177.8,18.91986863564483,18.53392295359836,54089053.707601435,1023357790.774157,2.6503387372516656,48.0,1.0,92.0327868852459,100.0,14.475409836065573,0.046112903225806426,0.3759516129032255,1980.0,44.0,264.14901639344265
2,sweep,gh200,diagonal_compact,0,224,224,1,11239424,6,21,168,50,3,23.6630859375,24.758099947890592,False,788786400.0,33681190.0,33616650.0,33754770.0,23.419196293242607,15527.26298,549.372,14877.2,28.263659196318706,27.080375410468683,36192547.31009908,1022933822.6192816,6.346030274514021,168.0,1.0,93.69662921348315,100.0,29.60674157303371,0.10404444444444441,0.8178000000000001,1980.0,45.0,385.8251685393258
